source,target
76561198320338168,76561198103820259
76561198320338168,76561198166489597
76561198320338168,76561198261886351
76561198320338168,76561198285534477
76561198320338168,76561198308806757
76561198320338168,76561198365721356
76561198320338168,76561198397177352
76561198320338168,76561198400024070
76561198320338168,76561198408714684
76561198320338168,76561198577817824
76561198320338168,76561198797624743
76561198320338168,76561198802351715
76561198320338168,76561198806973520
76561198320338168,76561198809131830
76561198320338168,76561198965260815
76561198320338168,76561199041716837
76561198320338168,76561199084942836
76561198320338168,76561199109781554
76561198103820259,76561197967906271
76561198103820259,76561197979564704
76561198103820259,76561198045892402
76561198103820259,76561198064543608
76561198103820259,76561198069174607
76561198103820259,76561198072853844
76561198103820259,76561198079957202
76561198103820259,76561198086154752
76561198103820259,76561198098752272
76561198103820259,76561198106369332
76561198103820259,76561198118835188
76561198103820259,76561198119082871
76561198103820259,76561198122413995
76561198103820259,76561198129470129
76561198103820259,76561198134279962
76561198103820259,76561198163088023
76561198103820259,76561198165360930
76561198103820259,76561198168952314
76561198103820259,76561198207575867
76561198103820259,76561198214693151
76561198103820259,76561198243092298
76561198103820259,76561198252064048
76561198103820259,76561198253051431
76561198103820259,76561198263310241
76561198103820259,76561198263336614
76561198103820259,76561198263369382
76561198103820259,76561198267341060
76561198103820259,76561198275720354
76561198103820259,76561198282284020
76561198103820259,76561198293815406
76561198103820259,76561198300961223
76561198103820259,76561198306617737
76561198103820259,76561198308806757
76561198103820259,76561198313416792
76561198103820259,76561198314651779
76561198103820259,76561198332941547
76561198103820259,76561198344237332
76561198103820259,76561198345984869
76561198103820259,76561198357516615
76561198103820259,76561198373087254
76561198103820259,76561198373195037
76561198103820259,76561198397147818
76561198103820259,76561198400024070
76561198103820259,76561198408714684
76561198103820259,76561198408901878
76561198103820259,76561198412089092
76561198103820259,76561198445782870
76561198103820259,76561198448765734
76561198103820259,76561198802351715
76561198103820259,76561198824615891
76561198103820259,76561198835061442
76561198103820259,76561198846963687
76561198103820259,76561198848375706
76561198103820259,76561198848756096
76561198103820259,76561198872430863
76561198103820259,76561198872495656
76561198103820259,76561198872712841
76561198103820259,76561198874328514
76561198103820259,76561198874395162
76561198103820259,76561198876881256
76561198103820259,76561198880133547
76561198103820259,76561198885004072
76561198103820259,76561198910712841
76561198103820259,76561198917044505
76561198103820259,76561198965210750
76561198103820259,76561198966602315
76561198103820259,76561198967442404
76561198103820259,76561198996819346
76561198103820259,76561199001523196
76561198103820259,76561199016560872
76561198103820259,76561199018547510
76561198103820259,76561199043855563
76561198103820259,76561199076581772
76561198103820259,76561199091570596
76561198103820259,76561199129405715
76561198103820259,76561199250531567
76561198103820259,76561199395511335
76561198103820259,76561199578663959
76561198103820259,76561199643214110
76561198166489597,76561198285534477
76561198166489597,76561198797624743
76561198166489597,76561198802351715
76561198166489597,76561198806973520
76561198261886351,76561198005177111
76561198261886351,76561198025729138
76561198261886351,76561198026589052
76561198261886351,76561198171685502
76561198261886351,76561198239323044
76561198261886351,76561198263734819
76561198261886351,76561198285534477
76561198261886351,76561198306617737
76561198261886351,76561198317348202
76561198261886351,76561198365721356
76561198261886351,76561198411422631
76561198261886351,76561198799256566
76561198261886351,76561198802351715
76561198261886351,76561198806973520
76561198261886351,76561199084942836
76561198285534477,76561197994850956
76561198285534477,76561198025290265
76561198285534477,76561198042787772
76561198285534477,76561198045353988
76561198285534477,76561198046557962
76561198285534477,76561198048504948
76561198285534477,76561198050963483
76561198285534477,76561198053287540
76561198285534477,76561198053441863
76561198285534477,76561198060610173
76561198285534477,76561198066470476
76561198285534477,76561198066568804
76561198285534477,76561198075028742
76561198285534477,76561198075325703
76561198285534477,76561198076508595
76561198285534477,76561198076693170
76561198285534477,76561198080320376
